experience,test_score,salary
4,86,87800
17,82,125400
16,45,115200
7,91,98000
7,54,64800
6,64,88900
12,87,121100
4,85,80900
8,55,111200
8,72,92000
4,97,80200
11,61,108000
5,69,78900
3,86,73300
9,67,104100
3,63,67400
5,83,71100
7,78,96500
2,100,84000
12,57,104400
11,77,116200
5,84,93500
9,86,104000
4,60,70900
6,55,86300
12,81,102600
9,66,97600
3,73,77900
19,88,132600
17,72,119400
19,89,143900
18,85,140700
9,65,100800
13,87,127400
6,76,89600
6,75,72300
1,77,84900
14,76,112600
3,70,84800
3,79,82100
6,73,90700
9,83,102200
7,60,91600
9,92,90300
3,54,70800
20,80,154300
3,53,60200
3,79,72800
8,70,98100
7,67,90500
6,81,95700
13,66,115900
2,99,74800
11,77,111600
8,65,91900
25,72,162400
3,53,47900
14,88,122700
7,77,85800
12,91,102700
5,79,79900
10,73,105300
7,53,73500
10,83,98500
10,68,101000
8,67,97900
25,84,166400
20,60,137100
9,59,78600
8,80,98900
4,55,55800
4,77,72500
9,74,88200
10,99,94700
7,99,90700
3,78,67200
16,83,135100
10,79,101600
7,82,89800
10,54,98700
2,69,65800
17,70,128000
4,60,62400
8,70,86700
3,80,63000
10,71,106800
5,84,80400
4,86,83000
10,72,113000
8,62,94100
7,100,95600
10,100,103800
17,73,126600
9,87,104600
8,74,88200
5,74,68300
4,66,69800
16,54,115300
1,72,64000
8,80,84200
11,68,105600
9,80,109700
22,56,140800
5,65,90000
18,70,136900
6,73,69900
5,54,73800
3,78,76400
3,57,62600
2,64,78000
16,82,123100
6,60,80400
1,82,77300
12,86,116500
2,86,76000
3,63,67300
3,91,81800
7,81,83000
2,84,67700
5,86,67800
11,59,94100
15,77,119900
17,81,125800
4,76,86700
6,72,71500
4,71,87200
12,82,117100
2,61,66000
4,66,76000
5,68,78400
3,65,76300
11,87,96900
4,92,63500
2,65,58100
15,79,123300
3,91,77600
9,73,93000
9,57,100100
9,64,97800
7,96,104700
16,90,118800
7,75,94600
3,68,70200
26,63,161700
1,84,80000
8,79,88400
9,84,97300
3,66,82100
10,63,85700
10,62,98200
11,79,101200
4,70,74100
8,93,101200
5,98,96200
12,80,109000
23,88,149300
8,76,85400
3,90,86300
9,87,103400
12,84,118100
9,83,97600
2,83,74000
4,78,72200
9,63,94600
5,93,91200
10,80,103000
11,82,102800
4,73,70100
7,74,96500
6,65,87300
7,68,85200
8,74,95000
12,67,114000
11,86,107200
8,79,83800
8,58,94700
19,67,134700
8,81,74800
3,86,94900
7,66,98300
4,78,72400
8,96,99300
17,91,133000
6,67,86400
9,66,93200
3,82,78500
6,81,82900
8,70,93000
8,100,98600
3,71,62400
9,60,97000
3,69,76400
5,70,80200
1,100,79900
11,74,109900
7,83,91300
23,80,150500
4,59,83800
16,76,126100
3,93,72000
9,82,93600
7,74,90400
9,77,106400
3,66,91900
2,75,68500
9,56,93200
7,74,107900
9,67,102600
8,77,109400
12,92,116800
5,63,84900
10,49,102500
14,68,113000
6,82,84100
10,64,102600
6,90,94500
4,60,68500
11,97,115800
10,48,82200
9,72,90400
5,66,83500
5,100,91500
8,73,106200
4,85,79700
3,90,87100
3,81,80400
9,100,112600
10,86,106300
9,88,101400
5,67,75600
3,72,70800
7,92,97000
4,85,80100
5,84,81000
2,72,77500
10,70,103100
5,72,91400
6,82,79800
6,62,87800
10,92,108500
3,70,84700
5,90,89100
3,53,74000
3,100,76700
4,71,73100
10,58,106900
6,97,92900
5,84,84700
7,87,93100
7,60,71400
11,83,101600
5,75,79600
21,83,148200
7,56,83000
2,76,66500
5,73,88500
12,55,106800
15,58,118000
13,80,115800
1,86,71800
3,50,57200
4,88,97200
8,82,96800
6,75,86400
9,87,102400
9,62,111300
2,60,57600
9,68,92900
12,57,115400
12,78,116400
18,60,126800
10,56,97300
11,64,104700
14,75,121600
7,100,102300
6,83,77400
4,59,74500
8,76,85300
4,85,84700
2,93,78500
3,72,71200
22,66,161500
7,64,88500
12,70,98600
5,69,97100
5,68,78300
8,62,100400
4,98,85600
8,67,99300
5,75,91200
3,77,70300
3,81,75100
3,74,61200
13,84,108500
6,89,97700
9,78,90700
10,74,91800
6,90,88600
9,85,110400
9,67,100800
2,62,69600
12,77,109200
5,67,76600
5,72,84600
2,77,80600
1,78,73000
13,81,112300
6,84,95200
6,77,90800
7,75,81300
7,72,99400
8,80,104800
9,93,99400
2,72,86900
4,71,86500
7,71,81600
7,92,91100
12,83,117200
7,74,83100
9,59,90800
3,77,76200
7,89,95900
4,97,82300
5,81,74700
4,69,85000
5,66,81700
2,70,66500
11,92,109100
6,85,93400
1,70,65900
4,59,90300
3,86,81100
1,50,61200
5,61,63500
7,73,81300
8,81,94400
4,76,72600
3,81,94300
9,77,113700
7,52,88700
8,71,89100
5,59,86600
7,50,92600
5,56,79500
2,76,59900
17,66,117400
7,83,89300
8,75,90500
5,78,95300
3,89,70600
8,100,109300
12,87,115100
3,84,81600
4,76,72800
17,85,134100
18,66,118600
1,83,64300
9,98,99600
4,59,74400
7,78,99100
6,83,74200
6,86,83200
1,52,53800
6,76,79200
22,74,144200
8,92,101500
6,54,70100
2,75,69200
9,83,91000
11,70,117000
8,77,95200
9,72,86500
3,66,74500
6,57,75400
3,63,74200
4,84,86800
6,86,81900
3,64,64500
4,87,83500
4,73,84100
20,69,138400
2,75,59800
13,89,109000
6,76,89200
5,69,82100
6,69,68300
12,81,126400
8,72,98500
7,99,94500
4,64,84500
11,94,123900
1,84,70200
1,70,70700
6,69,77000
12,81,115600
4,66,75900
1,75,60500
7,67,83600
11,88,114300
2,78,76700
23,62,147400
19,77,146900
6,59,86200
6,70,80200
10,69,102900
3,79,62800
7,65,91100
4,72,86200
8,97,96000
8,87,106000
13,70,128300
6,69,72200
3,83,61900
8,92,91900
3,62,52500
7,76,93700
3,86,66500
8,55,83200
10,83,99300
2,74,72400
17,67,128400
7,63,83200
3,59,72200
16,80,123300
4,75,71500
4,72,98400
8,78,94200
3,78,63500
4,60,66700
13,62,115600
0,69,60200
7,79,101300
6,73,81100
6,80,83400
5,69,68200
4,73,87700
3,59,71800
7,62,89900
13,82,107900
7,85,93700
7,65,86700
10,68,94900
5,75,85300
4,83,69400
19,74,144400
4,64,75200
4,85,80600
4,94,90200
3,89,88500
2,52,74500
11,89,105300
4,80,83600
10,78,103700
7,57,104400
6,71,85000
12,81,96200
13,100,134500
5,82,100300
4,69,68700
5,80,85000
5,75,81300
10,82,103300
6,73,76200
10,55,98500
9,65,86100
9,85,102600
17,76,123600
9,64,101500
4,87,76700
4,88,90900
6,86,98000
13,87,118400
4,82,82000
4,71,80200
6,86,107000
9,66,86600
7,62,97300
12,63,102400
2,73,72300
4,86,85300
7,70,99200
6,78,84700
5,78,76400
12,64,115800
9,61,90600
4,71,69000
14,68,122900
1,52,64200
3,88,90700
16,71,127600
10,83,100900
7,63,97700
13,74,101600
6,71,75700
4,85,96600
7,65,83200
5,81,83900
10,80,108500
16,74,120900
15,66,121500
12,72,106700
12,85,105800
6,59,75200
10,85,117600
9,85,105100
4,91,81200
5,89,76400
10,69,105900
10,58,116000
5,67,97800
6,100,91400
10,96,114900
1,76,55100
2,62,88700
9,77,90900
2,91,84100
10,72,93400
7,74,89300
15,62,119000
1,86,59900
4,71,64400
9,62,95800
10,91,111600
6,100,106100
6,60,80200
13,65,118900
3,52,65700
6,68,84200
3,88,78900
6,66,85100
13,62,100600
8,92,89800
6,77,81000
6,66,81000
5,89,98800
17,62,139100
4,88,94500
4,67,75900
5,69,91800
4,75,72800
19,73,126700
6,67,84200
3,63,65400
3,74,75300
13,54,94600
1,96,60100
8,81,93900
12,70,105100
7,70,95400
7,84,91100
5,86,85200
4,73,68400
15,79,117900
8,59,92400
7,92,98400
4,77,75100
13,65,105600
5,100,83200
4,67,69400
6,77,96100
8,47,83600
4,59,77200
26,52,162000
7,94,93200
9,36,82900
13,77,124100
8,70,88700
5,69,81400
8,77,98700
7,100,85100
9,76,102000
5,66,78300
2,82,69400
4,81,90400
17,96,126300
12,86,114000
3,71,81500
14,66,105800
14,72,104200
4,61,70700
15,71,144200
10,91,110300
5,74,75100
2,93,81500
6,76,82000
10,79,107100
7,79,95900
5,79,82400
6,79,71900
10,61,112000
1,85,66600
3,73,81900
8,68,97300
13,48,103500
16,64,123000
4,84,82100
6,88,95400
16,48,136100
5,70,72900
9,70,101300
5,65,79400
22,86,152000
6,79,75400
2,60,68300
5,53,75600
4,94,84900
7,86,91200
2,92,70500
8,84,105100
6,81,82200
8,61,86600
17,88,129700
12,48,90700
14,76,111400
4,86,88300
6,95,86500
13,96,124700
5,74,78100
2,68,56600
7,74,87700
6,75,70500
9,75,84000
5,58,85700
1,72,55900
15,64,126800
13,72,107100
9,73,105100
3,63,67800
4,63,66800
9,98,108700
9,68,91300
12,62,107400
5,76,80500
4,91,89400
8,66,90300
17,90,129100
2,86,77700
15,83,112500
7,91,125100
2,75,70400
7,89,108400
11,76,115000
4,72,71700
5,76,97200
14,89,121800
4,77,77900
7,50,85200
4,76,73500
9,81,112000
7,78,91500
3,90,60600
10,100,117900
20,78,152500
8,60,99600
1,67,60900
8,92,117800
4,78,85000
10,73,76100
9,75,99300
5,78,76400
4,85,64800
3,84,78300
12,74,100900
10,66,108200
1,63,60400
11,76,104500
10,82,100700
10,92,120900
2,76,64200
11,46,112800
5,73,92600
11,71,109300
11,37,75400
2,88,76000
9,73,96100
10,72,96100
1,83,68800
9,78,85400
5,90,92700
5,68,82100
4,79,96200
20,72,137300
8,83,103000
14,72,114000
5,71,97500
7,57,87200
3,81,85100
16,72,113400
7,85,88000
13,76,116100
5,79,83100
5,66,82400
2,73,58400
5,84,90600
11,69,106800
12,94,128600
5,76,77200
7,63,81200
6,78,85000
4,56,76200
6,82,106200
13,70,106900
12,90,111300
5,91,73500
8,62,74400
9,59,99800
2,75,60300
10,74,92200
12,77,109100
4,75,74400
7,66,86000
7,49,75000
4,64,82400
20,74,147300
14,82,121800
12,86,108200
11,65,92200
7,76,84400
4,65,66500
2,76,66200
3,67,75200
0,81,39600
15,59,118600
2,66,57900
2,65,68700
9,63,81500
12,80,105400
7,69,77700
5,77,69000
15,72,120100
7,92,90600
6,60,104900
12,76,119100
1,67,51900
4,68,70800
8,81,99900
4,89,90200
6,68,80200
6,87,96800
2,63,55700
13,77,119000
8,74,90900
8,97,101500
10,77,101100
22,65,151600
12,68,120100
7,100,100000
5,66,79800
2,78,70500
7,81,80300
2,58,50900
6,69,75000
5,91,87500
3,71,63100
12,79,105900
11,59,105700
7,79,94200
4,86,75600
2,70,75500
16,65,118700
13,81,123800
4,76,93000
5,77,92200
4,73,64000
5,82,78700
10,68,120700
19,67,125300
4,87,84200
11,79,114900
7,74,95600
9,58,75300
4,69,87600
4,82,100000
11,94,116200
2,64,48500
4,76,85400
4,68,76400
14,77,122600
8,70,99300
5,71,71500
13,91,109600
10,70,98600
4,100,95000
7,91,91600
20,69,133000
9,87,101600
7,63,86100
10,93,112600
10,57,97800
12,61,114100
7,65,83600
4,82,89100
7,71,75800
6,79,96500
4,98,74000
6,73,85100
4,83,61300
6,72,80000
12,78,106500
5,80,74500
3,62,88300
5,72,77400
4,73,67700
4,81,83400
6,69,84800
8,92,101800
3,59,72800
5,65,70400
6,57,78500
1,89,69300
5,90,97600
5,82,76800
17,92,124100
12,60,108900
12,73,89200
4,84,69700
4,62,77500
6,76,88300
12,77,115700
12,87,119500
8,62,92000
12,60,113400
3,77,59500
9,70,86300
8,86,104200
6,72,89800
6,66,88600
13,97,106000
12,59,106600
4,61,82500
4,62,86100
7,63,87400
2,78,92300
4,73,72400
6,77,86600
6,75,92900
6,75,91300
17,61,118800
14,92,119000
17,73,116500
4,84,77400
11,73,98200
5,49,91100
7,69,89700
18,59,136900
7,78,113500
3,77,66200
11,79,97700
6,69,88300
10,80,95000
5,47,75600
6,77,86100
9,86,100100
1,72,74200
3,87,82300
4,90,93200
5,58,83800
3,39,50900
7,85,93600
5,68,71200
6,70,77000
3,85,58600
6,72,79600
7,68,80700
10,92,110500
13,73,102100
3,91,79300
3,66,67300
3,91,72600
7,81,106200
4,81,73600
9,83,100600
4,65,78900
5,97,92700
6,78,83200
7,81,93100
11,95,107100
16,78,127900
15,66,135500
7,81,102800
7,87,92400
6,60,76500
4,78,85200
3,87,83000
15,78,122100
4,85,72900
2,91,87700
1,84,69000
9,61,98600
5,81,101700
5,53,75100
13,85,112100
17,67,120700
6,73,93000
1,60,58700
7,76,99800
12,97,112900
7,80,104500
7,81,90500
6,57,86900
14,85,136100
10,85,117700
3,77,79500
4,83,78000
1,84,74600
4,70,79700
12,69,113900
2,61,57600
4,61,56200
17,65,129000
4,76,80400
8,68,89100
4,90,76700
6,84,84900
16,87,126100
6,84,84200
5,98,80500
4,74,86400
4,52,70300
16,82,123000
14,73,116800
11,56,105800
9,77,105900
13,83,111700
4,61,70100
8,76,107600
19,69,147000
16,86,120400
9,100,105500
7,61,86900
2,81,74200
9,76,89200
6,86,80700
7,72,90200
12,74,104400
5,74,87100
8,60,108500
12,75,119400
3,65,59200
3,75,58300
2,73,69700
9,81,104300
5,87,83500
5,73,86200
6,71,88700
3,85,78600
4,68,78100
7,79,88000
1,79,73300
15,70,132800
7,70,83600
2,69,71600
8,69,93200
3,79,70400
5,93,81500
4,62,82200
5,77,71200
2,94,81700
17,78,148300
10,60,100000
3,95,80800
10,68,94200
7,79,89200
5,76,95900
6,73,99000
6,66,86500
3,85,68700
8,83,113000
6,74,95600
7,74,91400
9,61,106900
7,80,92400
7,76,92100
7,78,84400
11,82,116700
4,64,65600
1,77,57300
4,63,73700
9,64,81800
5,53,89400
7,75,92300
18,64,128800
18,64,131600
6,68,82600
9,67,89700
13,83,124100
5,62,72000
5,73,83800
7,67,92700
25,53,156900
1,82,59900
6,73,91600
13,84,112100
4,94,81900
13,63,105700
7,64,84300
2,72,67700
3,70,77700
5,72,78600
9,88,93500
3,74,56700
13,55,98100
4,47,87700
19,76,142500
7,88,106700
9,91,105900
12,83,111600
4,71,74700
2,77,72000
11,71,104800
8,72,82300
2,97,84800
14,91,126200
17,71,120700
3,95,68900
21,95,153900
4,86,87600
6,68,89800
5,92,89100
3,77,73900
4,64,72700
6,70,92700
4,70,92200
11,72,116100
6,61,84800
4,75,95000
6,87,86100
10,70,113200
7,80,98500
7,55,72500
2,81,73600
11,86,117200
6,67,80500
12,73,103800
10,98,108500
19,95,129100
2,82,75700
3,85,75400
3,71,58000
4,81,88800
11,81,99100
9,67,96000
6,85,80500
10,79,106500
14,61,123000
4,96,82800
5,77,93000
5,71,71900
15,68,130100
5,65,65600
11,88,129000
12,93,104600
3,58,76100
6,79,77900
7,76,85700
9,74,95100
8,81,113500
4,79,77200
3,81,66900
12,87,108100
13,77,120000
7,98,99300
14,77,115300
9,70,101300
2,75,67300
5,68,89300
11,69,100100
10,73,100700
2,86,73800
12,56,103100
3,69,79800
6,74,77400
5,70,75400
7,71,89600
13,89,132200
5,98,83800
2,81,77200
6,51,76200
10,61,100500
6,77,100800
6,71,80400
4,100,84700
8,72,89600
21,76,138300
9,98,85700
7,67,107000
27,75,163700
0,61,67000
5,86,81700
13,92,126700
1,67,74900
4,67,74700
7,56,87400
20,97,145900
8,56,93400
9,78,97600
6,65,83000
7,87,105400
7,76,96300
3,67,65400
5,73,74000
12,100,133400
14,81,112300
8,81,107200
4,53,77700
0,67,60100
11,77,114200
18,88,144600
11,74,95000
6,88,98600
7,64,86300
4,78,91600
3,93,82600
17,94,129400
3,68,81900
10,69,109500
20,64,121000
4,91,60000
1,69,51700
6,91,84600
5,50,67100
4,63,83700
7,78,86000
17,85,141200
11,88,111100
19,89,140600
6,71,84300
7,73,103800
4,91,92800
2,70,66700
10,77,100200
9,84,89800
2,55,74600
4,85,77700
6,51,64700
10,70,91000
7,69,90100
5,87,92300
14,73,117300
7,75,105800
3,84,82000
6,77,93700
14,82,110400
8,84,109800
4,70,77900
6,63,74600
11,73,108600
14,89,137000
4,81,87300
16,85,118400
4,92,88900
8,75,96800
3,64,66000
8,70,91800
8,88,102000
2,77,70000
9,63,103400
2,80,79800
4,73,67500
6,87,86600
8,78,99300
5,75,74400
9,92,95600
7,77,91900
4,77,76600
3,63,75900
6,77,90000
8,73,70800
24,62,153500
11,65,105500
6,100,89200
9,66,86900
17,67,141900
4,73,61800
6,75,89300
8,86,93600
6,61,89800
2,74,69800
19,87,134800
25,68,156700
8,59,105100
15,66,122600
7,69,84400
11,92,113700
7,91,93600
8,77,84700
5,82,84500
10,77,106600
5,80,88000
4,81,94700
15,100,116300
18,86,131400
4,81,72000
13,82,123700
8,59,89100
21,72,136800
13,87,113500
10,71,108900
12,76,109000
8,71,91500
4,85,83700
7,53,84000
9,81,108700
9,72,108000
12,62,103700
15,80,116100
6,67,86800
5,68,82300
16,66,116700
10,84,112400
12,71,112600
3,86,71500
5,85,93400
6,78,92000
15,79,128100
14,68,115600
6,64,89000
11,91,110700
5,45,78500
7,51,83000
7,81,93100
5,90,104700
6,75,64300
13,98,122200
4,52,72500
8,75,90100
8,73,81700
10,91,108500
6,95,102800
4,81,67200
14,66,104600
4,68,70700
6,81,93800
8,88,107500
8,63,94100
5,67,66800
6,76,86000
17,66,122400
8,67,105400
3,94,73200
3,87,83000
2,74,76900
4,77,83000
4,67,71100
5,70,82300
6,78,69300
2,94,75800
7,78,99000
7,86,95300
11,60,91700
4,83,77600
14,45,124800
13,69,105500
22,92,151800
4,69,81400
3,75,58600
14,79,129100
9,67,110100
5,83,106500
7,68,91200
8,81,95400
6,81,93500
9,73,97600
1,72,71900
6,54,74500
6,61,72000
6,69,89800
8,82,88700
3,73,73500
7,71,92600
4,100,95600
17,73,139000
4,67,62900
2,82,84900
15,99,146600
9,100,111100
11,75,89000
10,86,119700
9,77,98200
13,66,108200
2,80,81100
7,64,96000
6,60,95900
1,78,62100
6,94,76300
10,83,117400
6,63,81900
17,75,126800
1,70,60200
17,69,127000
4,84,77200
10,75,113900
10,71,97100
11,67,95600
3,77,77400
10,56,98100
6,71,83300
2,83,67600
3,74,75900
9,73,108500
9,39,71200
8,83,97600
5,76,83900
7,82,105400
3,64,67300
8,66,85300
8,61,88900
4,69,59500
2,69,74700
12,86,119000
4,60,79200
10,89,114900
12,59,115500
10,86,108900
11,61,111900
7,76,91600
7,67,91900
11,47,105200
5,88,89600
2,67,73500
5,66,79900
7,90,96100
8,79,94000
8,71,94100
15,65,112100
11,94,115800
11,92,108800
18,82,128900
1,80,66600
3,76,72300
14,76,118700
8,77,107300
8,100,100100
4,54,88100
5,69,73300
7,62,85700
4,90,98000
6,81,108600
7,82,90300
2,47,60500
15,73,119400
4,44,52500
2,73,57500
4,90,90400
18,62,120600
3,74,76600
14,70,91000
9,75,97500
18,76,131000
7,98,105300
9,84,103500
10,92,114200
13,75,118500
8,96,101500
8,72,101700
5,83,93000
7,62,92200
34,74,196500
2,82,79800
4,94,96200
1,72,73700
8,72,87900
9,72,98200
14,84,117600
10,58,105300
11,82,111800
8,64,84000
4,74,67900
7,33,66800
5,70,74500
9,71,77600
6,54,90400
8,81,102000
25,64,166900
13,75,116800
3,84,74900
3,85,79900
6,50,70800
11,59,106200
19,84,134100
5,95,87100
7,88,94200
4,74,79700
10,68,98700
6,66,80600
3,51,50800
11,80,114300
10,65,117400
9,63,99900
10,79,127200
13,67,108500
4,70,68000
7,35,77700
7,75,94000
4,80,82200
4,53,67900
19,83,149700
5,76,88200
7,77,91900
6,88,79700
3,78,60000
4,71,67700
5,100,88300
3,70,70600
25,81,171300
7,61,76700
3,83,77800
12,76,112800
11,70,98500
20,91,142100
5,76,77900
7,76,84800
14,63,113200
6,77,78000
6,65,73100
9,81,104900
4,100,84100
17,100,119000
11,57,102300
12,57,94100
7,88,84300
5,88,93300
5,97,89100
13,61,92800
5,97,84700
10,88,101100
10,63,104800
6,79,86200
3,72,68600
3,76,89200
5,68,71400
5,74,78400
2,78,58000
9,71,91900
11,96,121400
5,63,68100
5,70,90900
1,84,63100
10,66,98400
13,74,119600
14,62,121200
4,74,89200
4,64,86900
1,87,58700
9,73,101700
7,68,81300
2,84,58500
4,92,81400
8,79,90100
6,75,81900
12,62,109500
5,79,79300
1,84,60100
12,60,97700
8,69,95000
6,81,90500
2,80,62600
9,75,87200
7,77,93300
8,42,100400
12,71,107600
5,65,88200
13,87,107700
3,60,67600
16,59,135600
24,73,155500
4,79,74500
6,71,70700
15,76,113200
7,72,79800
16,94,125200
3,75,81800
4,68,73400
1,67,70900
6,88,93700
4,72,65000
11,62,112300
6,67,78800
8,43,78400
7,100,90700
28,78,178700
10,86,93400
11,58,88900
5,91,81600
4,68,83300
5,80,94900
10,78,95000
10,61,93500
8,56,83700
7,66,87300
5,52,86200
5,76,72700
11,72,110200
10,83,99200
0,100,71700
9,84,91600
6,74,96400
13,64,102400
2,72,65900
4,84,84400
6,96,97100
2,60,48000
6,74,100700
11,87,109000
2,87,74000
8,91,115700
5,81,70700
11,83,109100
5,67,73500
7,46,75600
4,76,83200
15,86,122800
3,76,77200
1,65,62700
8,75,105600
6,68,81400
8,62,85700
8,67,98300
5,84,78000
10,59,105400
12,62,110400
14,81,145400
3,99,77500
7,63,95000
5,90,80400
10,70,98100
4,70,82300
9,75,88200
1,69,64800
5,73,95100
20,69,136200
21,68,151800
15,51,108100
9,71,93800
5,75,92400
9,55,93900
8,72,77200
9,94,118700
1,68,55400
17,96,137900
5,63,74700
2,69,63000
4,67,83300
1,72,60300
10,88,110200
5,77,82500
9,59,85600
10,87,113500
13,74,112800
14,90,118800
7,85,86000
4,75,77600
4,88,85100
10,51,91500
11,70,92600
7,87,79300
7,61,93100
8,66,94700
9,90,111500
13,60,101900
2,75,69500
9,91,92100
19,84,139300
19,75,134600
7,70,77600
7,67,88200
5,66,82700
4,86,88800
5,84,89200
12,61,119400
5,70,82800
6,83,80300
5,75,81800
6,83,88600
27,89,178800
9,81,91800
9,35,85800
18,78,134800
9,77,107200
4,58,59000
2,73,73600
12,72,106000
19,78,160300
7,70,86800
9,71,91400
11,67,114000
7,74,76000
3,73,69200
9,73,86000
0,68,70900
4,73,75900
7,82,97900
1,66,52100
4,85,87900
7,97,104400
4,87,90400
9,47,75700
5,67,80300
7,65,85800
5,60,81500
5,85,78100
6,70,90300
3,76,77600
6,69,69300
6,74,79700
2,95,83600
3,66,71200
9,66,111100
8,80,104100
1,67,57700
5,61,78100
10,82,117900
5,79,82400
3,53,54800
7,83,101700
5,75,94500
3,78,78600
11,68,100300
10,65,84500
4,92,78000
8,78,90200
5,77,81100
4,85,78100
6,80,102400
7,51,93600
3,66,89800
4,65,72200
8,66,92800
9,70,87200
6,74,65800
4,98,100700
8,62,78500
4,82,79400
8,64,94900
10,78,102800
5,82,83600
9,97,117800
9,69,100300
10,83,96100
13,73,109300
28,83,171200
8,64,107600
4,76,78500
3,85,62500
5,77,71500
8,63,92200
7,57,74300
5,82,95900
4,87,83300
15,78,126800
5,81,92500
5,67,73600
8,63,94900
7,84,93100
4,80,76000
3,63,63800
7,91,94100
7,77,97300
5,86,93000
4,79,80700
10,59,84400
9,77,102300
2,56,59900
3,92,77100
3,74,76200
2,81,71300
7,70,78900
4,91,79400
4,74,72500
15,91,118600
3,88,92300
9,76,105000
11,64,116000
3,89,76400
14,68,107700
10,56,98800
4,78,82200
4,60,72500
3,61,72000
11,73,100800
10,70,99400
6,78,92800
6,83,87500
5,83,80400
6,70,91200
4,77,78700
1,67,54100
10,77,96400
5,67,83800
15,82,129600
1,88,76100
7,67,92500
10,73,97700
22,73,149900
15,63,118300
6,70,86600
3,81,63300
13,74,118000
2,94,77800
6,83,96100
4,72,86300
4,77,80300
6,84,76700
8,95,102400
6,78,90300
6,68,80400
8,67,98000
7,53,75500
13,78,128000
8,84,98400
6,82,82900
9,96,107000
17,77,131300
7,48,72000
9,64,108000
11,76,103800
6,83,96700
13,58,104400
3,100,82200
4,79,71500
12,43,101600
3,100,82700
3,65,68000
3,73,78900
3,95,80700
6,80,87800
7,57,87800
4,78,80700
10,85,105300
2,63,64100
7,72,91500
14,67,119800
6,81,97700
4,54,74400
16,70,127500
12,90,125900
10,71,102100
3,68,72500
3,79,67600
4,60,74300
8,51,79900
8,68,90200
3,83,58200
1,84,69800
5,77,86100
7,100,106000
2,69,72100
9,60,96300
13,58,96600
8,77,113400
7,79,83900
21,62,149700
15,81,115900
2,100,76900
6,67,71700
7,75,86600
7,85,75400
23,75,164700
16,88,137400
10,82,116200
7,61,79200
5,73,73500
9,91,94500
7,76,88500
11,79,112200
9,100,95100
15,76,109100
3,56,58300
7,70,99200
10,83,119000
8,85,106400
7,64,84500
11,80,107300
11,75,114700
9,87,95100
2,70,56700
8,80,77800
3,86,80700
6,92,97500
1,79,72300
10,68,95400
2,71,63300
3,95,67200
9,74,94600
4,60,80300
3,76,73000
10,70,107100
9,95,107400
9,85,92200
6,82,90800
9,100,101800
6,100,100600
9,62,101600
9,64,91900
14,94,116800
5,89,93100
17,55,119300
4,96,80000
5,72,85300
18,79,149100
7,82,93700
6,67,71600
10,83,117000
6,88,69700
3,94,80200
7,74,94000
1,71,61100
8,91,103700
6,72,81700
4,64,63400
7,90,87400
2,88,66400
21,42,145300
4,70,66300
2,65,59200
7,66,95900
14,71,107600
18,86,123900
9,69,87000
17,82,130800
12,61,116800
8,74,87300
8,89,96400
5,62,75400
5,78,72400
6,61,100000
7,64,76600
5,68,97400
11,76,116200
9,86,111600
14,85,119100
8,96,88100
2,78,64100
7,71,88600
3,69,67900
22,40,135500
7,81,86300
13,88,109800
3,87,67500
1,79,61900
5,81,80400
4,100,88700
6,90,87500
7,86,101900
4,65,81800
5,66,80300
12,66,106100
6,80,95200
2,73,54000
8,81,88700
16,61,110900
10,91,101600
12,78,118700
3,74,72700
6,74,72000
5,59,78500
3,69,61000
6,99,100100
7,68,88200
8,73,102900
13,69,112700
4,91,90300
12,84,111200
5,59,92000
3,66,57800
7,65,92200
4,69,79700
8,69,90900
11,93,113000
5,79,86000
10,71,115800
7,72,87200
12,100,118000
4,66,95500
4,68,70200
13,75,103200
7,66,79300
8,86,91700
10,73,102000
8,72,101700
11,77,122700
9,78,92700
4,73,76100
9,64,97100
12,90,107400
5,77,81300
4,57,70200
3,74,67700
11,74,91400
6,61,78700
2,73,79700
8,53,84900
16,79,138200
9,75,106800
3,80,77100
3,73,73300
9,77,90700
11,81,91400
9,80,94000
10,81,96800
5,76,91400
5,51,78800
18,98,150900
2,95,82900
7,86,90300
6,81,84100
11,83,105200
10,59,97000
5,88,85700
9,66,97700
8,77,97200
8,85,96700
9,39,96300
7,89,80400
16,100,134800
4,69,81600
9,64,95000
6,86,85000
7,61,85300
2,71,77700
4,75,82500
3,87,72200
6,56,76700
12,74,107800
3,68,68700
3,71,65300
6,75,82200
3,84,88600
24,82,159000
7,77,77100
3,64,66500
13,75,129500
8,88,103900
8,64,90300
3,79,93400
4,61,76800
8,62,85700
7,86,117900
6,71,92100
8,81,91600
9,85,103400
7,87,91400
6,59,77700
2,66,74600
13,60,95600
8,75,77700
2,60,71500
11,85,115000
5,80,80000
3,64,71500
9,72,102600
9,88,96700
6,90,99500
7,67,69000
24,88,146100
8,64,89200
1,59,54700
4,72,83000
5,66,85800
9,81,101900
4,60,69300
9,57,92900
5,76,80000
6,81,84100
1,81,75600
7,79,98700
2,91,78800
6,97,88600
15,69,120700
7,80,82300
7,85,97500
3,72,85000
18,97,140700
6,88,102000
10,62,103000
12,95,104900
12,83,112700
7,62,88800
2,75,64000
6,86,90800
4,80,87100
11,89,87400
5,60,76400
10,76,98600
11,90,104800
8,76,94600
2,84,63700
7,81,89400
2,77,64400
9,86,98800
2,60,52100
7,68,84200
6,81,80100
7,73,90300
8,60,94000
11,80,98400
8,67,81000
18,76,120200
